reportedDate,surprise,surprisePercentage,reported_Quarterly_EPS,estimated_Quarterly_EPS,reported_Annual_EPS
2020-11-30,0.2296,30.1946,0.99,0.7604,2.11
2020-08-31,0.4662,102.7325,0.92,0.4538,
2020-06-02,0.1015,103.0457,0.2,0.0985,
2020-03-04,0.0789,110.9705,0.15,0.0711,
2019-12-05,0.0589,189.3891,0.09,0.0311,
2019-09-05,0.0656,455.5556,0.08,0.0144,
