reportedDate,surprise,surprisePercentage,reported_Quarterly_EPS,estimated_Quarterly_EPS,reported_Annual_EPS
2020-12-02,0.0804,20100.0,0.08,-0.0004,0.13
2020-09-02,0.0377,489.6104,0.03,-0.0077,
2020-06-02,0.0814,132.5733,0.02,-0.0614,
2020-03-19,0.0644,76.3033,-0.02,-0.0844,
2019-12-05,0.0471,40.222,-0.07,-0.1171,
2019-09-05,0.047,20.7048,-0.18,-0.22699999999999998,
